statenum,stateabb,statenme,stday,stmonth,styear,endday,endmonth,endyear,source
368,LIT,Lithuania,6,9,1991,31,12,2012,list of independent states
369,UKR,Ukraine,1,12,1991,31,12,2012,list of independent states
370,BLR,Belarus (Byelorussia),25,8,1991,31,12,2012,list of independent states
371,ARM,Armenia,21,12,1991,31,12,2012,list of independent states
372,GRG,Georgia,6,9,1991,31,12,2012,list of independent states
373,AZE,Azerbaijan,21,12,1991,31,12,2012,list of independent states
375,FIN,Finland,6,12,1917,31,12,2012,list of independent states
380,SWD,Sweden,1,1,1816,31,12,2012,list of independent states
385,NOR,Norway,26,8,1905,31,12,2012,list of independent states
390,DEN,Denmark,1,1,1816,31,12,2012,list of independent states
395,ICE,Iceland,17,6,1944,31,12,2012,list of independent states
396,ABK,"Abkhazia				",26,8,2008,31,12,2012,list of microstatesÊ
397,SOT,"South Ossetia	",26,8,2008,31,12,2012,list of microstatesÊ
402,CAP,Cape Verde,5,7,1975,31,12,2012,list of independent states
403,STP,"S‹o Tom and	Principe		",12,7,1975,31,12,2012,list of microstatesÊ
404,GNB,Guinea-Bissau,10,9,1974,31,12,2012,list of independent states
411,EQG,Equatorial Guinea,12,10,1968,31,12,2012,list of independent states
420,GAM,Gambia,18,2,1965,31,12,2012,list of independent states
432,MLI,Mali,22,9,1960,31,12,2012,list of independent states
433,SEN,Senegal,4,4,1960,31,12,2012,list of independent states
434,BEN,Benin,1,8,1960,31,12,2012,list of independent states
435,MAA,Mauritania,28,11,1960,31,12,2012,list of independent states
436,NIR,Niger,3,8,1960,31,12,2012,list of independent states
437,CDI,Cote DÍIvoire,7,8,1960,31,12,2012,list of independent states
438,GUI,Guinea,2,10,1958,31,12,2012,list of independent states
439,BFO,Burkina Faso (Upper Volta),5,8,1960,31,12,2012,list of independent states
450,LBR,Liberia,26,7,1847,31,12,2012,list of independent states
451,SIE,Sierra Leone,27,4,1961,31,12,2012,list of independent states
452,GHA,Ghana,6,3,1957,31,12,2012,list of independent states
461,TOG,Togo,27,4,1960,31,12,2012,list of independent states
471,CAO,Cameroon,1,1,1960,31,12,2012,list of independent states
