gwno,year,WorldBank_pop_estimate,WorldBank_pop_estimate_sd,WorldBank_gdp_2011_ppp_estimate,WorldBank_gdp_2011_ppp_estimate_sd
343,1981,14.3469930482858,0.0926089565619455,23.7049721765265,0.222308993195804
343,1982,14.3546576324299,0.08989140723731,23.7322358927084,0.224912691718098
343,1983,14.3642142643225,0.0917094781236574,23.7228368537996,0.233121227660258
343,1984,14.3711044822515,0.0914607192313665,23.7283401819243,0.233451394720997
343,1985,14.3742061553899,0.0887480847968509,23.7151093948592,0.224449999798757
343,1986,14.384977759323201,0.0909078755490958,23.7211641245657,0.239516916793617
343,1987,14.384386686795,0.0886548834140844,23.7039226919834,0.229830368240304
343,1988,14.3912690739131,0.0933073863132959,23.6689377458812,0.231335163791688
343,1989,14.4043509521197,0.0878378391763189,23.6287144686947,0.2181166948682
343,1990,14.4278945252191,0.0890900029271974,23.5486890650857,0.218610931719455
343,1991,14.4464694879791,0.0863340285014088,23.4767069774435,0.20988227502279
343,1992,14.4603682726155,0.0866523785067742,23.4010125598761,0.220460110846422
343,1993,14.4715505305778,0.0866285510035549,23.3898425456952,0.21584899375749
343,1994,14.4627617843997,0.0844878863758857,23.3731739442357,0.221174695323773
343,1995,14.4615637871854,0.0838896014629213,23.3730065903139,0.220497897240486
343,1996,14.4746107406611,0.0852539707854891,23.3746518935875,0.212445664500986
343,1997,14.4821667548318,0.0854355233855862,23.4135838243085,0.213977408426239
343,1998,14.4746325441914,0.0871900190920981,23.4383983562364,0.216135140562859
343,1999,14.4835724768076,0.0862359770590716,23.4971536418956,0.205047390644298
343,2000,14.478692656923,0.0856421865053929,23.5305612927513,0.219065377770575
343,2001,14.4862494774717,0.0821037259392489,23.5141720593319,0.21124902011803
343,2002,14.4889344074169,0.0862473415940599,23.5244492151363,0.210581653164702
343,2003,14.4896588047747,0.0892207481088371,23.5627487329496,0.213823255336533
343,2004,14.4865339527439,0.0844055768902584,23.6005806425065,0.213266932223225
343,2005,14.4936370510127,0.0872266984138201,23.6498752520639,0.215439431252366
343,2006,14.4917570982563,0.087470668824328,23.6991372624785,0.211580458084346
343,2007,14.4963846003769,0.0866656453969585,23.7785639107205,0.219744709051414
343,2008,14.5010117524352,0.0853816902018184,23.8215517490078,0.214066766215108
343,2009,14.5032854081556,0.0853202004448532,23.8983754333907,0.221756090791912
343,2010,14.5038860487339,0.0901650522563657,23.9340231308455,0.213603376780534
343,2011,14.5076563284178,0.0853297663991245,23.9611016576316,0.21494355443704
343,2012,14.4988858097171,0.0856759020844346,24.0020109168228,0.215303862632618
343,2013,14.50054794383,0.0874624648004264,24.0434203265887,0.218375040366862
343,2014,14.5000629734685,0.0903875151229407,24.0468929424381,0.210544543456007
343,2015,14.5040901413932,0.0993990452883135,24.048223563277,0.224912330859457
344,1950,15.0979837484057,0.0986543753806866,23.0917177450638,0.276235677662646
344,1951,15.1168374004516,0.0913619565746086,23.1515754684779,0.257389159443257
344,1952,15.1229202485864,0.094072171972627,23.2018021799361,0.247574879037548
